ParticipantID,Environment1,Environment2,Technique1,Technique2,Technique3
1,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
2,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
3,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
4,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
5,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
6,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
7,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
8,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
9,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
10,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
11,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
12,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
13,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
14,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
15,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
16,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
17,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
18,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
19,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
20,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
21,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
22,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
23,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
24,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
25,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
26,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
27,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
28,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
29,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
30,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
31,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
32,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
33,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
34,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
35,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
36,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
37,AR,VR,Outline,AnimatedOutline,AnimatedOutlineLink
38,AR,VR,AnimatedOutlineLink,Outline,AnimatedOutline
39,AR,VR,AnimatedOutline,AnimatedOutlineLink,Outline
40,VR,AR,Outline,AnimatedOutline,AnimatedOutlineLink
41,VR,AR,AnimatedOutlineLink,Outline,AnimatedOutline
42,VR,AR,AnimatedOutline,AnimatedOutlineLink,Outline
